## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647653.rg.bam] OUTPUT=SRR11647653.dedup.bam METRICS_FILE=SRR11647653_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 18:51:55 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	29904001	300490064	38375099	0	12803877	80448290	0	0.275329	455781236

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	156768033	156768033
2.0	1.517221	47853900	47853900
3.0	1.784738	11588984	11588984
4.0	1.923103	2348010	2348010
5.0	1.994669	425074	425074
6.0	2.031684	74986	74986
7.0	2.050829	15760	15760
8.0	2.060731	5020	5020
9.0	2.065853	2851	2851
10.0	2.068502	1913	1913
11.0	2.069872	1522	1522
12.0	2.07058	1116	1116
13.0	2.070947	896	896
14.0	2.071136	773	773
15.0	2.071235	569	569
16.0	2.071285	443	443
17.0	2.071311	379	379
18.0	2.071325	295	295
19.0	2.071332	280	280
20.0	2.071336	202	202
21.0	2.071338	169	169
22.0	2.071339	159	159
23.0	2.071339	134	134
24.0	2.071339	121	121
25.0	2.071339	88	88
26.0	2.07134	83	83
27.0	2.07134	57	57
28.0	2.07134	61	61
29.0	2.07134	71	71
30.0	2.07134	53	53
31.0	2.07134	34	34
32.0	2.07134	24	24
33.0	2.07134	35	35
34.0	2.07134	32	32
35.0	2.07134	30	30
36.0	2.07134	23	23
37.0	2.07134	29	29
38.0	2.07134	25	25
39.0	2.07134	15	15
40.0	2.07134	17	17
41.0	2.07134	10	10
42.0	2.07134	14	14
43.0	2.07134	7	7
44.0	2.07134	9	9
45.0	2.07134	6	6
46.0	2.07134	12	12
47.0	2.07134	9	9
48.0	2.07134	14	14
49.0	2.07134	9	9
50.0	2.07134	11	11
51.0	2.07134	4	4
52.0	2.07134	9	9
53.0	2.07134	2	2
54.0	2.07134	5	5
55.0	2.07134	8	8
56.0	2.07134	8	8
57.0	2.07134	2	2
58.0	2.07134	6	6
59.0	2.07134	7	7
60.0	2.07134	0	0
61.0	2.07134	2	2
62.0	2.07134	2	2
63.0	2.07134	2	2
64.0	2.07134	2	2
65.0	2.07134	6	6
66.0	2.07134	1	1
67.0	2.07134	1	1
68.0	2.07134	0	0
69.0	2.07134	1	1
70.0	2.07134	3	3
71.0	2.07134	2	2
72.0	2.07134	1	1
73.0	2.07134	3	3
74.0	2.07134	0	0
75.0	2.07134	0	0
76.0	2.07134	1	1
77.0	2.07134	0	0
78.0	2.07134	1	1
79.0	2.07134	0	0
80.0	2.07134	0	0
81.0	2.07134	1	1
82.0	2.07134	2	2
83.0	2.07134	1	1
84.0	2.07134	1	1
85.0	2.07134	2	2
86.0	2.07134	0	0
87.0	2.07134	2	2
88.0	2.07134	1	1
89.0	2.07134	0	0
90.0	2.07134	0	0
91.0	2.07134	0	0
92.0	2.07134	1	1
93.0	2.07134	1	1
94.0	2.07134	2	2
95.0	2.07134	1	1
96.0	2.07134	0	0
97.0	2.07134	0	0
98.0	2.07134	1	1
99.0	2.07134	0	0
100.0	2.07134	0	0
103.0	0	2	2
104.0	0	2	2
105.0	0	1	1
106.0	0	1	1
107.0	0	1	1
110.0	0	1	1
120.0	0	1	1
125.0	0	1	1
126.0	0	1	1
130.0	0	1	1
134.0	0	1	1
142.0	0	1	1
197.0	0	1	1

