## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647663.rg.bam] OUTPUT=SRR11647663.dedup.bam METRICS_FILE=SRR11647663_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 05 23:48:05 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	28282915	299111474	35833772	0	6889220	28154351	0	0.100874	1487526512

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	244231613	244231613
2.0	1.817847	23706094	23706094
3.0	2.486721	1916803	1916803
4.0	3.033758	150141	150141
5.0	3.48115	17586	17586
6.0	3.847049	5438	5438
7.0	4.146298	2655	2655
8.0	4.391039	1550	1550
9.0	4.591199	893	893
10.0	4.754899	592	592
11.0	4.888781	388	388
12.0	4.998276	235	235
13.0	5.087826	167	167
14.0	5.161064	109	109
15.0	5.220962	93	93
16.0	5.269949	53	53
17.0	5.310013	41	41
18.0	5.342779	32	32
19.0	5.369577	23	23
20.0	5.391493	25	25
21.0	5.409418	18	18
22.0	5.424077	20	20
23.0	5.436066	16	16
24.0	5.445872	15	15
25.0	5.453891	11	11
26.0	5.460449	7	7
27.0	5.465813	11	11
28.0	5.4702	7	7
29.0	5.473788	5	5
30.0	5.476722	13	13
31.0	5.479122	4	4
32.0	5.481084	3	3
33.0	5.482689	3	3
34.0	5.484002	10	10
35.0	5.485076	2	2
36.0	5.485954	3	3
37.0	5.486672	2	2
38.0	5.487259	2	2
39.0	5.48774	6	6
40.0	5.488133	2	2
41.0	5.488454	3	3
42.0	5.488717	0	0
43.0	5.488931	3	3
44.0	5.489107	3	3
45.0	5.489251	3	3
46.0	5.489369	4	4
47.0	5.489465	2	2
48.0	5.489543	4	4
49.0	5.489608	1	1
50.0	5.48966	2	2
51.0	5.489703	3	3
52.0	5.489738	3	3
53.0	5.489767	3	3
54.0	5.489791	2	2
55.0	5.48981	2	2
56.0	5.489826	3	3
57.0	5.489839	3	3
58.0	5.489849	1	1
59.0	5.489858	1	1
60.0	5.489865	2	2
61.0	5.48987	2	2
62.0	5.489875	2	2
63.0	5.489879	1	1
64.0	5.489882	3	3
65.0	5.489885	1	1
66.0	5.489887	2	2
67.0	5.489889	2	2
68.0	5.48989	0	0
69.0	5.489891	0	0
70.0	5.489892	2	2
71.0	5.489893	2	2
72.0	5.489893	2	2
73.0	5.489894	0	0
74.0	5.489894	0	0
75.0	5.489895	1	1
76.0	5.489895	1	1
77.0	5.489895	0	0
78.0	5.489895	0	0
79.0	5.489896	0	0
80.0	5.489896	1	1
81.0	5.489896	1	1
82.0	5.489896	0	0
83.0	5.489896	1	1
84.0	5.489896	0	0
85.0	5.489896	1	1
86.0	5.489896	0	0
87.0	5.489896	0	0
88.0	5.489896	0	0
89.0	5.489896	0	0
90.0	5.489896	1	1
91.0	5.489896	1	1
92.0	5.489896	0	0
93.0	5.489896	1	1
94.0	5.489896	0	0
95.0	5.489896	0	0
96.0	5.489896	0	0
97.0	5.489896	0	0
98.0	5.489896	1	1
99.0	5.489896	0	0
100.0	5.489896	1	1
101.0	0	1	1
103.0	0	1	1
114.0	0	1	1
125.0	0	1	1
131.0	0	1	1
136.0	0	1	1
137.0	0	1	1
140.0	0	1	1
147.0	0	1	1
152.0	0	1	1
157.0	0	1	1
158.0	0	1	1
160.0	0	1	1
165.0	0	1	1
168.0	0	1	1
177.0	0	1	1
182.0	0	1	1
188.0	0	1	1
189.0	0	1	1
205.0	0	1	1
243.0	0	1	1
249.0	0	1	1
257.0	0	1	1
387.0	0	1	1
520.0	0	1	1

